player_id,nationality,overall,age,hits
-4984122834608945329,Argentina,94,35,300
1830069069979746801,Portugal,93,35,300
-6112486172854914634,Brazil,92,25,200
5640448026498913931,Netherlands,91,25,200
4709453564054420076,Slovenia,91,25,35
-2882912698318394391,Belgium,91,25,200
7672635831958177623,Poland,91,35,75
-2305970226424804277,Belgium,91,25,75
1173233985021407454,Brazil,90,25,75
498476416934255206,Egypt,90,25,75
7729495235640234954,Senegal,90,25,75
1473357380531822712,Germany,90,25,75
3908319435996920606,Argentina,90,35,75
5515126927887394296,France,89,25,300
2237543684997238912,France,89,25,75
3340948856229254517,England,89,25,75
5455774061916461644,France,89,25,75
7628158337266407840,Germany,89,35,35
4571080680070825380,Croatia,89,35,35
-5470317072966220924,Uruguay,89,35,75
9129449690123628652,Germany,89,35,35
-6785072218357988914,Spain,89,35,75
-5812018464834527773,Brazil,88,25,35
5984540931597444155,England,88,25,75
-8596820686337759321,Brazil,88,25,75
-1216697806559081069,Senegal,88,25,75
2427843729913678472,Brazil,88,25,35
-5148067589408358538,Spain,88,25,35
4490952944900356355,Belgium,88,25,35
8319449697631489331,Spain,88,35,35
2538802135863539569,Gabon,88,35,200
1562031389464957729,France,88,35,75
-4073076813773024237,Slovenia,88,35,15
-6567377901425499898,Spain,88,35,35
-6986863881863706356,Italy,88,35,15
614105553984737856,Portugal,87,25,75
2450950027389789029,Germany,87,25,75
-7556478522262473011,France,87,25,35
4954056214859779354,Argentina,87,25,75
246638081051181118,Korea Republic,87,25,75
-2714598278366420480,Italy,87,25,35
7802231886586323274,France,87,25,75
4502701399977926955,Costa Rica,87,35,35
-70252575566239392,Italy,87,35,200
-2074431852137985613,Denmark,87,25,35
7870638142048184677,Spain,87,35,15
6364247128002431578,Germany,87,35,35
3168059178244157374,Poland,87,35,15
-4831959777772262011,Argentina,87,35,35
5744099762658812584,Uruguay,87,35,15
1394468758982090437,Germany,87,35,15
3375654623811620437,Belgium,87,35,35
5640807464907795789,Spain,87,35,35
1454094343456107912,France,87,35,15
7212543900540595994,Brazil,87,35,35
5736954591501641767,England,86,20,300
-6200961129442200528,Slovakia,86,25,75
3204801710304648891,Netherlands,86,25,200
7542451376124779437,Germany,86,25,75
-354807439947118684,France,86,25,75
5947766245576207428,Scotland,86,25,75
-6197203776768730560,Portugal,86,25,200
8959370571230128739,Germany,86,25,200
847594110721471594,Brazil,86,25,35
3368057552012830104,England,86,35,35
-5102089165856380273,Morocco,86,25,200
-1779734113754360434,Brazil,86,25,35
-2075398655341533515,Algeria,86,25,35
3793491896068037543,France,86,25,35
3914024920678785285,Argentina,86,25,35
-6078845276200661981,Italy,86,25,35
-325070292384597192,Spain,86,25,15
-3151471829267205874,Belgium,86,25,75
270510627646851242,Spain,86,25,35
8809094083421919676,Spain,86,35,35
6871873786585643382,Italy,86,35,15
3440499317211850319,Belgium,86,35,15
-628864627092290474,Bosnia & Herzegovina,86,35,35
3268658993752169435,Uruguay,86,35,35
4519859843438117860,Switzerland,86,35,0
